"Data ID","Data SKU","Data Name","Permalink","Data URL","Description","Data Published","Data Modified","Category","Tag","Featured Image","Attribute: Publisher","Attribute: Pubdate"
"7161","","Administrative Features (point)","http://dev.geostor.org/?product=administrative-features-point-2","http://dev.geostor.org/?product=administrative-features-point-2","<div class=""md"" style=""color: #000000;""><b style=""font-weight: bold; font-style: italic;"">Abstract: </b>The Geographic Names Information System (GNIS) is the Federal standard for geographic nomenclature in support of the U.S. Board on Geographic Names. The Administrative Features layer (ADMIN_FEATURE) in the GNIS Web Map Service contains all features in the database with Feature Class of Civil, Forest, Park, Reserve. See<a style=""color: #0000ff;"" href=""http://geonames.usgs.gov/domestic/feature_class.htm"" target=""viewer"">http://geonames.usgs.gov/domestic/feature_class.htm</a> for feature class values and definitions. The ADMIN_FEATURE250 layer contains large features designated by the Geographic Names Office as ones that should be labeled on maps or displays with a scale of 1:250,000. See <a style=""color: #0000ff;"" href=""http://geonames.usgs.gov/"" target=""viewer"">http://geonames.usgs.gov</a> for additional information.</div>
<div class=""md"" style=""color: #000000;""></div>
<div class=""md"" style=""color: #000000;""><b style=""font-weight: bold; font-style: italic;"">Purpose: </b>The Geographic Names Information System contains information about physical and cultural geographic features of all types in the United States, associated areas, and Antarctica, current and historical, but not including roads and highways. The database holds the Federally recognized name of each feature and defines the feature location by state, county, USGS topographic map, and geographic coordinates. Other attributes include names or spellings other than the official name, feature designations, feature classification, historical and descriptive information, and for some categories the geometric boundaries. The database assigns a unique, permanent feature identifier, the Feature ID, as a standard Federal key for accessing, integrating, or reconciling feature data from multiple data sets. The GNIS collects data from a broad program of partnerships with Federal, State, and local government agencies and other authorized contributors. The GNIS provides data to all levels of government and to the public, as well as to numerous applications through a web query site, web map and feature services, file download services, and customized files upon request.</div>
<div class=""md"" style=""color: #000000;""></div>
<div class=""md"" style=""color: #000000;""><b style=""font-weight: bold; font-style: italic;"">Supplemental information: </b>The U.S. Board on Geographic Names is a Federal inter-agency body created in 1890 and established in its present form by Public Law in 1947 to establish and maintain uniform geographic name usage throughout the Federal Government and to promulgate standard names to the public. The Board serves all government agencies and the public as the central authority to which name inquiries, name issues, and new name proposals can be directed. It is comprised of representatives of Federal agencies associated with land management and cartography. Sharing its responsibilities with the Secretary of the Interior, the Board develops principles, policies, and procedures governing the use of both domestic and foreign geographic names as well as undersea and Antarctic feature names.</div>
<div class=""md"" style=""color: #000000;""></div>
<div class=""md"" style=""color: #000000;""><b style=""font-weight: bold; font-style: italic;"">Dataset credit: </b>The Geographic Names Information System was developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names.</div>
<div class=""md"" style=""color: #000000;""></div>
<div class=""md"" style=""color: #000000;"">[Keywords: society, location, Civil, Forest, Park, Reserve, GNIS]</div>","28/10/2014","28/10/2014","Data>Location","","","U.S. Geological Survey","May 01, 1981"
"7159","White_River_SouthofClarendon_Natural_Heritage_Site","White River- South of Clarendon: LiDAR (LAS)","http://dev.geostor.org/?product=white-river-south-clarendon-lidar-las","http://dev.geostor.org/?product=white-river-south-clarendon-lidar-las","<strong>White River- South of Clarendon: LiDAR (LAS)</strong>

Raw point data (LAS) for White River- South of Clarendon LiDAR flight. LIDAR and Derivative Products for an area encompassing portions of the White River National Wildlife Refuge
and surrounding areas in Arkansas, Monroe and Prarie Counties, Arkansas.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, White River, Clarendon]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7158","Bayou Meto Lidar Phase I","Bayou Meto: LiDAR (LAS)","http://dev.geostor.org/?product=bayou-meto-lidar-las","http://dev.geostor.org/?product=bayou-meto-lidar-las","<strong>Bayou Meto: LiDAR (LAS)</strong>

Raw point data (LAS) for Bayou Meto<strong> </strong>LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Bayou Meto]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7156","Trilakes_Millwood_Grassy_Lake_2008","Languille: LiDAR (LAS)","http://dev.geostor.org/?product=white-river-bull-shoals-newport-lidar-las-copy","http://dev.geostor.org/?product=white-river-bull-shoals-newport-lidar-las-copy","<strong>Languille: LiDAR (LAS)</strong>

Raw point data (LAS) for Languille LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Languille]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7155","Trilakes_Millwood_Grassy_Lake_2008","White River- Bull Shoals to Norfork: LiDAR (LAS)","http://dev.geostor.org/?product=white-river-bull-shoals-norfork-lidar-las","http://dev.geostor.org/?product=white-river-bull-shoals-norfork-lidar-las","<strong>White River- Bull Shoals to Norfork: LiDAR (LAS)</strong>

Raw point data (LAS) for White River- Bull Shoals to Norfork LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, White River, Bull Shoals, Norfork]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7154","Trilakes_Millwood_Grassy_Lake_2008","Trilakes (Dierks/DeQueen/Gillham), Millwood, Grassy: LiDAR (LAS)","http://dev.geostor.org/?product=trilakes-dierksdequeengillham-millwood-grassy-lidar-las","http://dev.geostor.org/?product=trilakes-dierksdequeengillham-millwood-grassy-lidar-las","<strong>Trilakes (Dierks/DeQueen/Gillham), Millwood, Grassy: LiDAR (LAS)</strong>

Raw point data (LAS) for Trilakes (Dierks/DeQueen/Gillham), Millwood, Grassy LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Trilakes, Dierks, DeQueen, Gillham, Millwood, Grassy]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7153","LOWER_ARKANSAS_2010","Table Rock Lake: LiDAR (LAS)","http://dev.geostor.org/?product=table-rock-lake-lidar-las","http://dev.geostor.org/?product=table-rock-lake-lidar-las","<strong>Table Rock Lake: LiDAR (LAS)</strong>

Raw point data (LAS) for Table Rock Lake LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Table Rock Lake]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7152","LOWER_ARKANSAS_2010","Ozark/Dardenelle: LiDAR (LAS)","http://dev.geostor.org/?product=ozarkdardenelle-lidar-las","http://dev.geostor.org/?product=ozarkdardenelle-lidar-las","<strong>Ozark/Dardenelle: LiDAR (LAS)</strong>

Raw point data (LAS) for Ozark/ Dardenelle LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Ozark, Dardenelle]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7151","LOWER_ARKANSAS_2010","Lower Arkansas: LiDAR (LAS)","http://dev.geostor.org/?product=lower-arkansas-lidar-las","http://dev.geostor.org/?product=lower-arkansas-lidar-las","<strong>Lower Arkansas: LiDAR (LAS)</strong>

Raw point data (LAS) for Lower Arkansas LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Lower Arkansas]","20/10/2014","20/10/2014","Data>Elevation","","","",""
"7150","GREERS_FERRY_LITTLE_RED_RIVER_2010","Greers Ferry Lake/ Little Red River: LiDAR (LAS)","http://dev.geostor.org/?product=greers-ferry-lake-little-red-river-lidar-las","http://dev.geostor.org/?product=greers-ferry-lake-little-red-river-lidar-las","<strong>Greers Ferry Lake/ Little Red River: LiDAR (LAS)</strong>

Raw point data (LAS) for Greers Ferry/ Little Red River LiDAR flight.

[Keywords: LiDAR, lidar, LAS, point cloud, elevation, laz, .las, .laz, Greers Ferry, Little Red River]","20/10/2014","20/10/2014","Data>Elevation","","","",""
